"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"RPL10A" 0 -1.03849469644803 0.932 0.977 0 "0" "RPL10A"
"RPL39" 0 -1.04309047153501 0.979 0.989 0 "0" "RPL39"
"RPL7" 0 -1.06758930045471 0.984 0.986 0 "0" "RPL7"
"FKBP7" 0 -1.09332427436899 0.076 0.431 0 "0" "FKBP7"
"RPS3" 0 -1.10832121776408 0.958 0.985 0 "0" "RPS3"
"OSR2" 0 -1.1139674102516 0.016 0.373 0 "0" "OSR2"
"RPS6" 0 -1.11423246948685 0.973 0.985 0 "0" "RPS6"
"RPS23" 0 -1.13023358738223 0.951 0.986 0 "0" "RPS23"
"RPS18" 0 -1.1335338727654 0.987 0.992 0 "0" "RPS18"
"EPCAM" 0 -1.16737020818595 0.088 0.484 0 "0" "EPCAM"
"RPS4X" 0 -1.17948031171424 0.943 0.991 0 "0" "RPS4X"
"RPL26" 0 -1.19571546749752 0.95 0.986 0 "0" "RPL26"
"CRABP2" 0 -1.24897237497377 0.043 0.399 0 "0" "CRABP2"
"TMSB4X" 0 -1.30068937318755 0.994 0.998 0 "0" "TMSB4X"
"TMSB10" 0 -1.3310534029882 0.967 0.993 0 "0" "TMSB10"
"RPL34" 0 -1.34595465848884 0.991 0.994 0 "0" "RPL34"
"CTSK" 0 -1.43762250943246 0.079 0.562 0 "0" "CTSK"
"PHLDA2" 0 -1.53872452773776 0.019 0.39 0 "0" "PHLDA2"
"MEST" 0 -1.56266255062414 0.382 0.785 0 "0" "MEST"
"ANXA2" 0 -1.56683492891075 0.631 0.896 0 "0" "ANXA2"
"SCG5" 0 -1.58801823303245 0.362 0.731 0 "0" "SCG5"
"OLFML3" 0 -1.64513062476843 0.06 0.507 0 "0" "OLFML3"
"PLAT" 0 -1.6691460499615 0.022 0.408 0 "0" "PLAT"
"FBLN1" 0 -1.83458216989525 0.116 0.625 0 "0" "FBLN1"
"TMEM178A" 0 -1.85809501388168 0.394 0.794 0 "0" "TMEM178A"
"TIMP1" 0 -1.8853187483241 0.924 0.943 0 "0" "TIMP1"
"S100A11" 0 -1.88583222541698 0.5 0.807 0 "0" "S100A11"
"ISG20" 0 -1.93908553097283 0.27 0.747 0 "0" "ISG20"
"RBP4" 0 -1.95883900359209 0.116 0.614 0 "0" "RBP4"
"RBP1" 0 -1.97912809034398 0.439 0.874 0 "0" "RBP1"
"A2M" 0 -2.05683431991416 0.028 0.399 0 "0" "A2M"
"DCN" 0 -2.13695758487589 0.796 0.923 0 "0" "DCN"
"QPCT" 0 -2.23626482088891 0.043 0.67 0 "0" "QPCT"
"TAGLN" 0 -2.40141642984062 0.112 0.562 0 "0" "TAGLN"
"CTHRC1" 0 -2.5079505647639 0.031 0.59 0 "0" "CTHRC1"
"PCOLCE" 0 -2.53923893635913 0.088 0.73 0 "0" "PCOLCE"
"TM4SF1" 0 -2.551572680974 0.184 0.844 0 "0" "TM4SF1"
"MDK" 0 -2.77146231921664 0.749 0.959 0 "0" "MDK"
"CHGB" 0 -3.17620019955009 0.313 0.81 0 "0" "CHGB"
"SERPINF1" 0 -3.51786410084318 0.124 0.776 0 "0" "SERPINF1"
"IGFBP6" 0 -3.7520274312697 0.157 0.79 0 "0" "IGFBP6"
"CYTL1" 0 -4.43662440408898 0.041 0.595 0 "0" "CYTL1"
"BNIP3" 9.7622877911015e-307 1.2547496445753 0.882 0.446 3.27280698196678e-302 "0" "BNIP3"
"PLD3" 3.12870050227198e-305 -1.34796021653762 0.619 0.839 1.04889684338668e-300 "0" "PLD3"
"DTNA" 2.91509568036481e-304 1.37989403233075 0.72 0.203 9.77285826842304e-300 "0" "DTNA"
"DNER" 1.07580226097672e-303 1.29806648124395 0.725 0.145 3.60662707992445e-299 "0" "DNER"
"CXCL2" 3.07807715009012e-303 2.42222385405982 0.855 0.474 1.03192536456771e-298 "0" "CXCL2"
"GLUL" 6.3676036819019e-303 1.05656073340589 0.977 0.851 2.13473913435761e-298 "0" "GLUL"
"FCGRT" 5.14382923922788e-302 -1.54707706126679 0.65 0.834 1.72446875245115e-297 "0" "FCGRT"
