"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"LPAR6" 1.87906946043022e-36 0.323960208077745 0.553 0.342 6.29958036609231e-32 "0" "LPAR6"
"CRBN" 1.88344493021198e-36 0.278424018200151 0.564 0.361 6.31424912853568e-32 "0" "CRBN"
"INTS12" 1.90207651562158e-36 0.270464836706143 0.293 0.134 6.37671151862136e-32 "0" "INTS12"
"PGK1" 1.95123527049597e-36 0.325596783878623 0.755 0.575 6.54151624433774e-32 "0" "PGK1"
"NDUFS3" 2.60538534968293e-36 0.318774840016274 0.665 0.468 8.73455438481202e-32 "0" "NDUFS3"
"EEF1B2" 2.72042784026421e-36 -0.418709811361569 0.687 0.71 9.12023433448578e-32 "0" "EEF1B2"
"MAP3K13" 2.86771495870352e-36 0.330797034975859 0.715 0.539 9.61401439905353e-32 "0" "MAP3K13"
"HES5" 3.10264679776056e-36 0.292254658609723 0.103 0.006 1.04016233894923e-31 "0" "HES5"
"BORCS7" 3.40107040443357e-36 0.328105755981313 0.679 0.493 1.14020885308635e-31 "0" "BORCS7"
"COPS8" 3.67930612493327e-36 0.296056056332542 0.857 0.706 1.23348737838388e-31 "0" "COPS8"
"DNAJA1" 3.69439462622772e-36 0.330688567469217 0.95 0.923 1.23854579844284e-31 "0" "DNAJA1"
"PLA2G16" 3.7753940001467e-36 0.316362344310649 0.719 0.531 1.26570083854918e-31 "0" "PLA2G16"
"AHCYL1" 4.14199990947089e-36 0.429735921537557 0.6 0.425 1.38860546965012e-31 "0" "AHCYL1"
"CSKMT" 4.30769378065965e-36 0.327821213314723 0.406 0.226 1.44415433996615e-31 "0" "CSKMT"
"SKIL" 4.42398252632245e-36 0.322708650674565 0.55 0.352 1.4831401419496e-31 "0" "SKIL"
"FDFT1" 4.79465205694948e-36 0.33016038964098 0.561 0.375 1.60740710209231e-31 "0" "FDFT1"
"TMEM35A" 4.87808852419516e-36 -0.279058101036683 0.037 0.113 1.63537917773643e-31 "0" "TMEM35A"
"TEKT1" 4.96126174081257e-36 0.255661477903013 0.235 0.089 1.66326299860742e-31 "0" "TEKT1"
"ALG14" 5.34590589594894e-36 0.26844631662038 0.333 0.167 1.79221495161688e-31 "0" "ALG14"
"SDHC" 5.93487814758115e-36 0.293123030782356 0.744 0.564 1.98966789897658e-31 "0" "SDHC"
"NPM3" 6.25048791599502e-36 -0.323149246849953 0.15 0.271 2.09547607383733e-31 "0" "NPM3"
"CRIPT" 7.39012084206908e-36 0.293204865917223 0.499 0.304 2.47753801230366e-31 "0" "CRIPT"
"BBIP1" 7.44420493605988e-36 0.322585796700771 0.567 0.373 2.49566970481407e-31 "0" "BBIP1"
"ARL5B" 7.50058333953794e-36 0.289527292705687 0.302 0.141 2.5145705645801e-31 "0" "ARL5B"
"HMGN3" 7.71144321879388e-36 0.321374879811373 0.908 0.808 2.58526133910065e-31 "0" "HMGN3"
"PPP2CB" 7.79146245224902e-36 0.324657746451822 0.554 0.36 2.61208778711648e-31 "0" "PPP2CB"
"SEC63" 8.1622037377244e-36 -0.439223286004105 0.489 0.574 2.7363788030721e-31 "0" "SEC63"
"TACC2" 9.99526622913309e-36 -0.316572921335357 0.092 0.195 3.35091300331687e-31 "0" "TACC2"
"ALDH9A1" 1.07003017031259e-35 0.294028283192718 0.649 0.446 3.58727614597296e-31 "0" "ALDH9A1"
"FNIP2" 1.08931667876801e-35 -0.27856622049555 0.094 0.2 3.65193416556977e-31 "0" "FNIP2"
"EIF4A1" 1.20349604388437e-35 0.321335824033904 0.889 0.78 4.03472048712235e-31 "0" "EIF4A1"
"GNAQ" 1.22784736692126e-35 0.266077455421797 0.412 0.224 4.11635829760351e-31 "0" "GNAQ"
"YIPF6" 1.33187985820466e-35 0.282014621283749 0.55 0.348 4.46512722463111e-31 "0" "YIPF6"
"GOLIM4" 1.5916306565758e-35 0.472593168326173 0.731 0.54 5.33594177617038e-31 "0" "GOLIM4"
"VBP1" 1.62300806569682e-35 0.294875591495338 0.722 0.515 5.4411345402486e-31 "0" "VBP1"
"TSC22D1" 1.73640112695776e-35 -0.395663218620919 0.878 0.901 5.8212847781259e-31 "0" "TSC22D1"
"FABP3" 1.78560977578548e-35 -0.387167683244929 0.033 0.105 5.98625677332081e-31 "0" "FABP3"
"LRRC23" 1.92735675823929e-35 0.285637342754351 0.472 0.285 6.46146353199723e-31 "0" "LRRC23"
"MOCS2" 1.95323775755463e-35 0.302864827132167 0.615 0.407 6.54822958220188e-31 "0" "MOCS2"
"SERPINI1" 1.95885965823982e-35 0.357393508507782 0.798 0.622 6.567077004249e-31 "0" "SERPINI1"
"SLC35A5" 1.96842434299856e-35 0.279103189670423 0.444 0.26 6.59914260990269e-31 "0" "SLC35A5"
"OAF" 2.47886350000538e-35 -0.43616090731156 0.147 0.257 8.31038988376804e-31 "0" "OAF"
"DALRD3" 2.53210661963846e-35 0.291676060108571 0.375 0.203 8.48888744233793e-31 "0" "DALRD3"
"ZMYM5" 2.89157435912807e-35 0.282339237189457 0.391 0.21 9.69400303897684e-31 "0" "ZMYM5"
"EMILIN1" 3.04416299244637e-35 -0.465171506140511 0.196 0.306 1.02055564321764e-30 "0" "EMILIN1"
"STXBP3" 3.31796378255013e-35 0.292150810235401 0.439 0.254 1.11234735809993e-30 "0" "STXBP3"
"ITGAE" 3.50356935357613e-35 0.286217092451912 0.514 0.311 1.1745716257864e-30 "0" "ITGAE"
"FKBP1A" 4.22573174803408e-35 -0.440388767229467 0.591 0.642 1.41667656852843e-30 "0" "FKBP1A"
"LRRC27" 4.36900595468836e-35 0.250365609255475 0.232 0.091 1.46470924630927e-30 "0" "LRRC27"
"SEPT11" 4.39151359225265e-35 0.269828432845595 0.46 0.271 1.4722549318027e-30 "0" "SEPT11"
"CTSS" 6.25864408820279e-35 -0.291622166360166 0.069 0.162 2.09821043056998e-30 "0" "CTSS"
"RPL22L1" 6.8219782972808e-35 0.343518648514357 0.609 0.415 2.28706822416339e-30 "0" "RPL22L1"
"CFAP53" 8.41027739715252e-35 0.255629401601297 0.236 0.092 2.81954549739538e-30 "0" "CFAP53"
"PRELP" 1.01292718869171e-34 -0.750470406043913 0.182 0.291 3.39583840008895e-30 "0" "PRELP"
"C2orf76" 1.20060831301402e-34 0.291728487719794 0.489 0.298 4.02503936937951e-30 "0" "C2orf76"
"PPM1K" 1.26249497492598e-34 0.292795700205355 0.448 0.263 4.23251440343934e-30 "0" "PPM1K"
"CAST" 1.43120469619372e-34 -0.450177946630268 0.397 0.497 4.79811374398944e-30 "0" "CAST"
"B2M" 1.77297690832013e-34 -0.269540691141636 0.996 0.98 5.94390508514322e-30 "0" "B2M"
"IQGAP2" 1.7880640399673e-34 0.258142306642199 0.269 0.117 5.99448469399036e-30 "0" "IQGAP2"
"WDR45B" 1.86101682431146e-34 0.298249654157781 0.487 0.304 6.23905890350418e-30 "0" "WDR45B"
"CHD1" 1.87242098922637e-34 0.308218320876018 0.445 0.257 6.27729136638139e-30 "0" "CHD1"
"SIL1" 2.21501480258898e-34 -0.432296417965045 0.247 0.363 7.42583712567955e-30 "0" "SIL1"
"MFHAS1" 2.34074728308337e-34 0.322803890838018 0.358 0.193 7.84735526653701e-30 "0" "MFHAS1"
"KCNN3" 2.40962842770955e-34 0.256158963652356 0.215 0.081 8.07827930389628e-30 "0" "KCNN3"
"TNRC6B" 2.48632732062116e-34 0.390563545636321 0.648 0.466 8.33541234238243e-30 "0" "TNRC6B"
"SPAG6" 2.59771900201304e-34 0.344365801649785 0.122 0.019 8.70885295424871e-30 "0" "SPAG6"
"SERGEF" 2.66991323233704e-34 -0.405843112697566 0.198 0.316 8.95088411140993e-30 "0" "SERGEF"
"UROD" 2.69041703041435e-34 0.285927345142707 0.48 0.292 9.01962309446412e-30 "0" "UROD"
"DKK1" 2.83441860196245e-34 -0.372440833949308 0.039 0.115 9.50238836307913e-30 "0" "DKK1"
"ZMPSTE24" 2.90874856409151e-34 0.275269456529627 0.37 0.2 9.75157956111678e-30 "0" "ZMPSTE24"
"MRPL13" 2.95067501422997e-34 0.304921030608722 0.67 0.482 9.89213798520596e-30 "0" "MRPL13"
"GLRX2" 3.10382824817073e-34 -0.40639071679553 0.207 0.324 1.04055842019924e-29 "0" "GLRX2"
"SPATA20" 3.19398375274516e-34 0.261847098190519 0.345 0.18 1.07078305310782e-29 "0" "SPATA20"
"WSB1" 3.57171313604955e-34 0.325659151447601 0.84 0.688 1.19741682886061e-29 "0" "WSB1"
"ATP2B1" 3.61205431450139e-34 -0.474962805145705 0.519 0.589 1.21094120893659e-29 "0" "ATP2B1"
"ZFAND3" 3.90740806044366e-34 0.261743842292023 0.353 0.186 1.30995855226374e-29 "0" "ZFAND3"
"SRGAP2B" 4.22037102234236e-34 0.263009037515157 0.284 0.134 1.41487938524028e-29 "0" "SRGAP2B"
"COMMD9" 4.78253613545464e-34 0.250895347972489 0.258 0.115 1.60334523941117e-29 "0" "COMMD9"
"CD164" 5.35136403939542e-34 -0.470576699225749 0.754 0.773 1.79404479420732e-29 "0" "CD164"
"UBAP1" 5.40823012027933e-34 0.269293881736194 0.396 0.221 1.81310914782365e-29 "0" "UBAP1"
"GFPT1" 5.84253205256793e-34 -0.340321957318915 0.143 0.256 1.9587088706234e-29 "0" "GFPT1"
"WWTR1" 7.48551502438765e-34 -0.473006812826287 0.501 0.563 2.50951891192596e-29 "0" "WWTR1"
"TCN2" 9.10093721485818e-34 -0.369780732241921 0.133 0.243 3.05108920128121e-29 "0" "TCN2"
"KPNA3" 9.40929288865642e-34 0.269037548796063 0.351 0.185 3.15446544092206e-29 "0" "KPNA3"
"PIGF" 9.47202031350161e-34 0.267976487134314 0.496 0.304 3.17549481010142e-29 "0" "PIGF"
"YPEL5" 1.03043434623926e-33 0.305395703494519 0.779 0.591 3.45453114576712e-29 "0" "YPEL5"
"RAB34" 1.14187383292986e-33 -0.498401163909545 0.37 0.455 3.82813202489735e-29 "0" "RAB34"
"CLCN3" 1.42455077576463e-33 0.275067917599125 0.392 0.218 4.77580647575091e-29 "0" "CLCN3"
"CFAP298" 1.54242951821157e-33 0.306599580797434 0.61 0.418 5.17099495980429e-29 "0" "CFAP298"
"HSCB" 1.81902668668395e-33 0.263960781409027 0.404 0.224 6.09828696710796e-29 "0" "HSCB"
"RPS6KA3" 2.02092432535678e-33 -0.293021268628183 0.096 0.197 6.77514880075859e-29 "0" "RPS6KA3"
"CCNI" 2.14023267094974e-33 -0.388065531069998 0.812 0.821 7.17513002935901e-29 "0" "CCNI"
"RNF122" 2.39936285075576e-33 0.317568979254772 0.151 0.038 8.0438639571587e-29 "0" "RNF122"
"PRPSAP2" 2.41992384383066e-33 0.251184777071544 0.332 0.171 8.11279468644229e-29 "0" "PRPSAP2"
"RUNX1" 2.59253395675738e-33 -0.295895445230271 0.073 0.164 8.6914700900291e-29 "0" "RUNX1"
"LRP10" 2.74122158602002e-33 0.298335452871783 0.613 0.397 9.18994536713212e-29 "0" "LRP10"
"ADD3" 2.7460694491243e-33 0.294869743637374 0.551 0.356 9.20619782818921e-29 "0" "ADD3"
"TMED4" 2.91383765009388e-33 -0.452528384275745 0.517 0.586 9.76864072193972e-29 "0" "TMED4"
"GOLGA7" 3.15508429736567e-33 0.28456548725959 0.66 0.456 1.05774201069184e-28 "0" "GOLGA7"
"TCIM" 3.51343703882701e-33 0.597179012469876 0.633 0.471 1.17787976726675e-28 "0" "TCIM"
"CALU" 3.73997977744887e-33 -0.466244775725634 0.53 0.607 1.25382822038973e-28 "0" "CALU"
"KLHDC9" 4.28777348355698e-33 0.272675794926417 0.458 0.272 1.43747606036248e-28 "0" "KLHDC9"
"DAZAP2" 4.63687468532697e-33 0.303198150753962 0.646 0.458 1.55451223825587e-28 "0" "DAZAP2"
"TCTN1" 7.24287360377413e-33 -0.478998226913903 0.439 0.523 2.42817337566528e-28 "0" "TCTN1"
"SPEF1" 7.60418598747921e-33 0.254695878340473 0.214 0.081 2.54930335230241e-28 "0" "SPEF1"
"C17orf97" 7.98842322150701e-33 0.253769198467989 0.228 0.095 2.67811888501023e-28 "0" "C17orf97"
"TIMMDC1" 9.05625686180874e-33 0.290548164319453 0.615 0.418 3.03611011292138e-28 "0" "TIMMDC1"
"RBM17" 9.86258358483501e-33 0.274792964695017 0.621 0.431 3.30643114681594e-28 "0" "RBM17"
"RNF175" 1.04375771201529e-32 0.255795471669063 0.278 0.13 3.49919772953124e-28 "0" "RNF175"
"LGI1" 1.29293511422795e-32 0.372171730076884 0.626 0.459 4.33456497044921e-28 "0" "LGI1"
"ETFB" 1.59905031742348e-32 0.280685532741148 0.706 0.511 5.36081618916223e-28 "0" "ETFB"
"KAT2A" 1.65891851876211e-32 0.279089781602616 0.227 0.095 5.56152433414997e-28 "0" "KAT2A"
"NREP" 1.69231955427172e-32 -0.403636696242115 0.179 0.292 5.67350130569595e-28 "0" "NREP"
"FADS1" 1.70765910749963e-32 0.294892386432324 0.429 0.252 5.72492715789251e-28 "0" "FADS1"
"RCN1" 2.06334790878079e-32 0.310516172850588 0.706 0.522 6.91737386418758e-28 "0" "RCN1"
"KRTCAP2" 2.1375890293929e-32 -0.378469890628018 0.722 0.734 7.16626722103971e-28 "0" "KRTCAP2"
"VASN" 2.25887481851581e-32 0.333984136461728 0.351 0.185 7.57287782907426e-28 "0" "VASN"
"SDF2L1" 2.29807756960042e-32 -0.44300054740753 0.401 0.498 7.70430505208541e-28 "0" "SDF2L1"
"CADM1" 2.35098995803261e-32 0.257346255075548 0.478 0.282 7.88169383430432e-28 "0" "CADM1"
"SIVA1" 3.09360959476116e-32 -0.394452972883503 0.565 0.623 1.03713261664368e-27 "0" "SIVA1"
"CREB5" 3.14052116178878e-32 -0.395594029817205 0.446 0.564 1.05285971948969e-27 "0" "CREB5"
"ARL6IP5" 3.159094678866e-32 -0.353323950399456 0.854 0.868 1.05908649108982e-27 "0" "ARL6IP5"
"TLE4" 3.33519830754575e-32 0.275869492680388 0.382 0.208 1.11812523260471e-27 "0" "TLE4"
"FAM184A" 4.46201425808213e-32 0.25180763990231 0.304 0.15 1.49589028002203e-27 "0" "FAM184A"
"CPNE2" 4.64471477900967e-32 0.26833578470218 0.382 0.211 1.55714062966299e-27 "0" "CPNE2"
"TTC9B" 5.00328594869044e-32 -0.432777423369214 0.036 0.105 1.67735161429847e-27 "0" "TTC9B"
"GRHPR" 5.18328438614606e-32 0.254514085425432 0.531 0.347 1.73769609045547e-27 "0" "GRHPR"
"SPA17" 5.2027782274035e-32 0.251477866169658 0.236 0.101 1.74423140073702e-27 "0" "SPA17"
"PROS1" 5.23478332438069e-32 -0.407462806381052 0.187 0.298 1.75496110949863e-27 "0" "PROS1"
"RAB11A" 5.24309637994022e-32 -0.440933551446019 0.676 0.712 1.75774806137496e-27 "0" "RAB11A"
"COL6A1" 8.03225232612354e-32 -0.488725451157433 0.321 0.42 2.69281259233292e-27 "0" "COL6A1"
"PTPRN" 1.2957504911625e-31 -0.506653906463548 0.049 0.125 4.34400352162227e-27 "0" "PTPRN"
"AC026979.2" 1.33180930667967e-31 0.256584270859924 0.279 0.135 4.46489070064359e-27 "0" "AC026979.2"
"DCAKD" 1.40525146362326e-31 0.255738962742579 0.382 0.214 4.71110553179698e-27 "0" "DCAKD"
"SRP19" 1.52585963670466e-31 -0.453100748873244 0.474 0.551 5.11544443205238e-27 "0" "SRP19"
"CRTAP" 1.56437262567163e-31 -0.276550392117796 0.095 0.192 5.24455922756415e-27 "0" "CRTAP"
"FST" 1.88511859289441e-31 -0.469788731543277 0.037 0.108 6.3198600826785e-27 "0" "FST"
"NPPC" 1.95621979757005e-31 0.317826537879983 0.16 0.048 6.55822687135358e-27 "0" "NPPC"
"MSI2" 2.13879405552066e-31 0.289033884488595 0.711 0.531 7.17030707113301e-27 "0" "MSI2"
"BNIP3L" 2.26735236659313e-31 0.262007207578506 0.661 0.457 7.60129880900348e-27 "0" "BNIP3L"
"CHORDC1" 2.39842553214054e-31 0.265085599862265 0.484 0.303 8.04072159650116e-27 "0" "CHORDC1"
"SERTAD4-AS1" 2.81574244462307e-31 -0.349748918668438 0.125 0.23 9.43977654559884e-27 "0" "SERTAD4-AS1"
"DENND5A" 3.61654887109628e-31 0.272499708090897 0.386 0.221 1.21244800903503e-26 "0" "DENND5A"
"ADH5" 3.9756907369303e-31 0.263264991884207 0.58 0.392 1.33285031955588e-26 "0" "ADH5"
"EFHD2" 3.98046109055451e-31 0.283193080489945 0.273 0.135 1.3344495806084e-26 "0" "EFHD2"
"PUF60" 5.90332460676369e-31 0.273614496479331 0.718 0.528 1.97908957441753e-26 "0" "PUF60"
"TENT5A" 6.13680611621608e-31 -0.305729345233615 0.116 0.219 2.05736425046144e-26 "0" "TENT5A"
"ZC3HAV1" 6.27930461971034e-31 0.265595425407066 0.338 0.179 2.10513687375789e-26 "0" "ZC3HAV1"
"SLC38A1" 6.53773270671284e-31 0.354086680044615 0.324 0.177 2.19177488992548e-26 "0" "SLC38A1"
"PTPMT1" 6.72081163842764e-31 0.273948505109192 0.626 0.436 2.25315210178287e-26 "0" "PTPMT1"
"CTSH" 6.97455762774567e-31 -0.755312244121039 0.315 0.406 2.33822044470174e-26 "0" "CTSH"
"TMX2" 9.0676450920036e-31 0.263008805788158 0.536 0.343 3.03992801709421e-26 "0" "TMX2"
"NIPSNAP3A" 9.13844636515583e-31 0.272302819537158 0.446 0.273 3.06366414391849e-26 "0" "NIPSNAP3A"
"TNFAIP6" 1.02437817982833e-30 -0.823542768783475 0.135 0.24 3.43422784787446e-26 "0" "TNFAIP6"
"CD55" 1.17938384729499e-30 -0.309082166883907 0.117 0.219 3.95388434805647e-26 "0" "CD55"
"ISG15" 1.4074626705746e-30 -0.572458664593556 0.409 0.505 4.71851860310133e-26 "0" "ISG15"
"IFIT2" 1.48837840795259e-30 0.287460700071105 0.174 0.058 4.98978861266107e-26 "0" "IFIT2"
"KDELC2" 1.96223248860037e-30 -0.2641119234852 0.062 0.143 6.57838441803276e-26 "0" "KDELC2"
"COLEC12" 2.02318303603756e-30 -0.460573565283156 0.263 0.367 6.78272112831592e-26 "0" "COLEC12"
"LAMTOR2" 2.20022878218707e-30 0.287510197813706 0.718 0.529 7.37626699228215e-26 "0" "LAMTOR2"
"DNAAF4" 2.23797719010821e-30 0.257673533781027 0.246 0.113 7.50281852983776e-26 "0" "DNAAF4"
"UBA3" 2.25514950892264e-30 0.259652755678313 0.521 0.335 7.56038872866315e-26 "0" "UBA3"
"ARSJ" 2.54408058609338e-30 -0.286092637417241 0.073 0.158 8.52903016487805e-26 "0" "ARSJ"
"SLC22A18" 2.55724830227377e-30 -0.270652556248739 0.08 0.169 8.57317493337281e-26 "0" "SLC22A18"
"SYNJ2" 2.65552363306672e-30 -0.26549595982558 0.072 0.159 8.90264297985618e-26 "0" "SYNJ2"
"UQCRC2" 2.80621186112341e-30 0.25222566743259 0.677 0.488 9.40782526441622e-26 "0" "UQCRC2"
"TMEM176A" 2.83092576170107e-30 -0.573092190521819 0.468 0.517 9.49067861610284e-26 "0" "TMEM176A"
"SNRPE" 2.86199455707815e-30 -0.352529128594814 0.705 0.733 9.59483675260448e-26 "0" "SNRPE"
"NOLC1" 3.33771230091007e-30 0.263524949903352 0.387 0.223 1.1189680488801e-25 "0" "NOLC1"
"EIF3L" 4.05494827165401e-30 -0.388032972776617 0.509 0.576 1.35942140807201e-25 "0" "EIF3L"
"ASXL1" 4.93390453940859e-30 0.256681563788131 0.331 0.175 1.65409149683673e-25 "0" "ASXL1"
"CLSTN1" 4.98735484143531e-30 0.263642714086663 0.374 0.213 1.67201071059119e-25 "0" "CLSTN1"
"APRT" 5.16839989160798e-30 -0.394885636215268 0.461 0.549 1.73270606366158e-25 "0" "APRT"
"EPC1" 6.31763382229103e-30 0.252137806773947 0.451 0.27 2.11798673892307e-25 "0" "EPC1"
"EFCAB2" 7.0772002347793e-30 0.276192182508353 0.42 0.255 2.37263137870976e-25 "0" "EFCAB2"
"NEMF" 8.65711104418121e-30 0.279913146373836 0.488 0.311 2.90229647756175e-25 "0" "NEMF"
"LRRC8A" 8.89447214361036e-30 0.255270801237375 0.358 0.201 2.98187178614537e-25 "0" "LRRC8A"
"ADRM1" 8.93482663525206e-30 -0.39193712802529 0.51 0.573 2.99540062946825e-25 "0" "ADRM1"
"SUMO1" 1.21081541881381e-29 -0.304046147490116 0.839 0.843 4.05925869157331e-25 "0" "SUMO1"
"HSP90AB1" 1.29694829455656e-29 -0.281173047932543 0.958 0.962 4.34801915750088e-25 "0" "HSP90AB1"
"TOPORS" 1.31912441967134e-29 0.273501863408694 0.465 0.292 4.42236461694816e-25 "0" "TOPORS"
"PDLIM2" 1.41382526474259e-29 0.273962718792103 0.513 0.332 4.73984920004954e-25 "0" "PDLIM2"
"CBX5" 1.86997791399673e-29 0.258060247970263 0.543 0.355 6.26910095667404e-25 "0" "CBX5"
"AL118516.1" 2.26476399070034e-29 0.254617253049531 0.375 0.214 7.59262127882288e-25 "0" "AL118516.1"
"NNAT" 2.40992340156736e-29 -0.489074836964376 0.399 0.208 8.07926820375456e-25 "0" "NNAT"
"NFKBIE" 2.43224336097941e-29 0.289490615283911 0.307 0.158 8.15409586768347e-25 "0" "NFKBIE"
"VEGFA" 2.67257646743637e-29 0.289122704930677 0.248 0.115 8.95981260708044e-25 "0" "VEGFA"
"WDR83OS" 3.3323685340272e-29 -0.299313552190135 0.802 0.816 1.11717655103262e-24 "0" "WDR83OS"
"VAMP5" 3.99474416226222e-29 0.274454124881445 0.771 0.601 1.33923798039841e-24 "0" "VAMP5"
"PSMD12" 4.57884328833217e-29 -0.373858513135996 0.494 0.56 1.53505721241336e-24 "0" "PSMD12"
"PRELID1" 5.45672382017881e-29 -0.373629615407168 0.652 0.67 1.82936666071495e-24 "0" "PRELID1"
"HLA-DPA1" 5.68310406560832e-29 0.300150439144773 0.192 0.074 1.90526063799519e-24 "0" "HLA-DPA1"
"C9orf72" 6.18856228249887e-29 0.262057633452487 0.385 0.226 2.07471550520775e-24 "0" "C9orf72"
"AKR1C1" 8.24229221989421e-29 -0.560890535080481 0.259 0.364 2.76322846671953e-24 "0" "AKR1C1"
"NEAT1" 1.19051740133268e-28 -0.430576094806491 0.776 0.806 3.99120958796781e-24 "0" "NEAT1"
"PTTG1IP" 1.46769682882818e-28 0.255749027611831 0.618 0.422 4.92045361864648e-24 "0" "PTTG1IP"
"NPC2" 1.55543025433242e-28 -0.544950669272809 0.855 0.835 5.21457992764944e-24 "0" "NPC2"
"SORBS2" 2.59565436244044e-28 0.268716016308696 0.194 0.08 8.70193125008156e-24 "0" "SORBS2"
"ABHD14A" 2.69557518132549e-28 -0.414398787837878 0.561 0.6 9.0369157953937e-24 "0" "ABHD14A"
"C8orf33" 2.79642030430131e-28 0.26949297214147 0.52 0.347 9.37499907017014e-24 "0" "C8orf33"
"HSPD1" 3.77413377764896e-28 0.260768917618865 0.823 0.67 1.26527834895681e-23 "0" "HSPD1"
"ARL1" 3.90808187729125e-28 -0.389816908882605 0.565 0.613 1.31018444936189e-23 "0" "ARL1"
"CHAC1" 7.89188399781691e-28 0.280083653874439 0.144 0.046 2.64575411026812e-23 "0" "CHAC1"
"LTBP4" 8.50264354348379e-28 0.316184733905433 0.32 0.175 2.85051124795294e-23 "0" "LTBP4"
"SDC4" 9.8630735818001e-28 0.300781563237048 0.441 0.27 3.30659541829848e-23 "0" "SDC4"
"SLIRP" 1.08516817039483e-27 -0.30569743792466 0.858 0.867 3.63802629124868e-23 "0" "SLIRP"
"RCN2" 1.10446631889653e-27 -0.35540825593815 0.785 0.765 3.70272333410063e-23 "0" "RCN2"
"NRSN1" 1.50250776500811e-27 -0.730681865147795 0.037 0.1 5.03715728218968e-23 "0" "NRSN1"
"MRPS18A" 1.54956752039679e-27 0.26571158083851 0.437 0.277 5.19492511213024e-23 "0" "MRPS18A"
"DNAJB9" 1.71971072688498e-27 -0.383145908618876 0.889 0.877 5.76533021188191e-23 "0" "DNAJB9"
"CD151" 1.72927053372802e-27 0.262619052172834 0.562 0.382 5.7973794643232e-23 "0" "CD151"
"FMC1" 3.22246375007391e-27 0.266170200054845 0.676 0.487 1.08033097221228e-22 "0" "FMC1"
"HNRNPA3" 3.5604246557477e-27 -0.388523569116347 0.668 0.701 1.19363236583942e-22 "0" "HNRNPA3"
"NBL1" 4.66097944409305e-27 -0.577369862676609 0.269 0.353 1.56259335863219e-22 "0" "NBL1"
"TSPYL1" 5.42256676171444e-27 -0.509773392757035 0.548 0.609 1.81791550686477e-22 "0" "TSPYL1"
"NTS" 5.54030361284822e-27 0.455374473805957 0.142 0.043 1.85738678620737e-22 "0" "NTS"
"YME1L1" 8.23461284531422e-27 0.332472828985147 0.542 0.386 2.76065395639159e-22 "0" "YME1L1"
"QTRT1" 1.87647051934195e-26 0.251889217020359 0.481 0.313 6.29086741609389e-22 "0" "QTRT1"
"DIRAS3" 2.08549317413089e-26 -1.17704880930918 0.328 0.409 6.99161586627381e-22 "0" "DIRAS3"
"SLC25A5" 2.32295436490471e-26 0.276983536574628 0.718 0.555 7.78770450834304e-22 "0" "SLC25A5"
"UBE2A" 2.37697632470806e-26 0.255094605797711 0.644 0.453 7.96881312858378e-22 "0" "UBE2A"
"ICAM1" 2.52365392731507e-26 0.369324914203464 0.45 0.291 8.46054979132377e-22 "0" "ICAM1"
"TPD52" 2.55371257757059e-26 -0.371829835151682 0.191 0.29 8.56132141630541e-22 "0" "TPD52"
"RNF7" 2.96528845076737e-26 -0.378375126775289 0.545 0.586 9.94112953119759e-22 "0" "RNF7"
"EIF3J" 3.07404603566087e-26 0.260868140119111 0.76 0.602 1.03057393345531e-21 "0" "EIF3J"
"MRPL33" 3.20285963278854e-26 -0.278143162518534 0.848 0.83 1.07375869189236e-21 "0" "MRPL33"
"MIPOL1" 4.46525542794505e-26 -0.3466128608725 0.153 0.249 1.49697688221858e-21 "0" "MIPOL1"
"NFATC1" 7.46945801096102e-26 0.251115230719013 0.345 0.193 2.50413579817468e-21 "0" "NFATC1"
"NOP53" 9.00226199714872e-26 -0.404361986613898 0.501 0.562 3.01800833454411e-21 "0" "NOP53"
"HDAC2" 1.12471603332564e-25 -0.375795409671434 0.477 0.547 3.7706105017242e-21 "0" "HDAC2"
"RAMP3" 1.18568365993991e-25 0.358281979062949 0.111 0.027 3.97500446994853e-21 "0" "RAMP3"
"CXCL8" 1.40984169381369e-25 -0.871515932298152 0.138 0.244 4.72649427851039e-21 "0" "CXCL8"
"DNAJC10" 1.64766546761638e-25 -0.306405382941513 0.211 0.314 5.5237984801839e-21 "0" "DNAJC10"
"SHC1" 1.97130935861707e-25 -0.250806196900118 0.112 0.203 6.60881462476374e-21 "0" "SHC1"
"NPTN" 2.03823888220148e-25 -0.389918451607534 0.136 0.224 6.83319585258046e-21 "0" "NPTN"
"ANXA5" 2.16140217873431e-25 -0.284991367128291 0.915 0.913 7.24610080420677e-21 "0" "ANXA5"
"OSER1" 2.38989926782511e-25 0.284044566576541 0.573 0.413 8.01213729538368e-21 "0" "OSER1"
"UCHL1" 3.59961089031756e-25 -0.84396524331837 0.461 0.26 1.20676955097896e-20 "0" "UCHL1"
"SPCS3" 3.60293878503504e-25 -0.342796018712855 0.229 0.329 1.207885227683e-20 "0" "SPCS3"
"TMEM87A" 4.98465064048942e-25 0.250206068005936 0.521 0.353 1.67110412722408e-20 "0" "TMEM87A"
"ANP32E" 5.26550327925569e-25 0.253787786944673 0.647 0.476 1.76525997437047e-20 "0" "ANP32E"
"CFH" 7.26002434734471e-25 -0.615459486266193 0.297 0.389 2.43392316244731e-20 "0" "CFH"
"CNIH4" 7.59043831778862e-25 -0.394847568067837 0.528 0.577 2.54469444603863e-20 "0" "CNIH4"
